popularity,title,artist,year,decade,original_vocal,categories,social_singing,version,vibe_tag,theme_tag,theme_labels,songID
940,Picture,Kid Rock & Sheryl Crow,2002,2000s,Mixed,"Country, Country Rock, Pop Rock",Duets,,,,,PictureKid Rock & Sheryl Crow
782,Amarillo by Morning,George Strait,1982,80s,Male,Country,,,,,,Amarillo by MorningGeorge Strait
758,Before He Cheats,Carrie Underwood,2005,2000s,Female,"Country, Country Pop",,,Breakup Anthem,,,Before He CheatsCarrie Underwood
754,Give Me One Reason,Tracy Chapman,1995,90s,Female,"Blues, Folk Rock, Singer-Songwriter",,,,,,Give Me One ReasonTracy Chapman
679,Black Velvet,Alannah Myles,1989,80s,Female,"Rock, Blues Rock, Classic Rock",,,One-Hit Wonder,,,Black VelvetAlannah Myles
603,Ol' Red,Blake Shelton,2001,2000s,Male,Country,,,,,,Ol' RedBlake Shelton
598,Tennessee Whiskey,Chris Stapleton,2012,2010s,Male,"Country, Soul, Blues, Southern Rock",,,,,,Tennessee WhiskeyChris Stapleton
589,Black Horse & the Cherry Tree,KT Tunstall,2004,2000s,Female,"Pop, Adult Contemporary, Singer-Songwriter, Alternative Rock",,,,,,Black Horse & the Cherry TreeKT Tunstall
583,Kryptonite,3 Doors Down,1997,90s,Male,"Rock, Alternative Rock, Post-Grunge",,,Dad Rock,,,Kryptonite3 Doors Down
569,Killing Me Softly With His Song,Fugees,1999,90s,Mixed,"R&B, Contemporary R&B, Hip-Hop",,,,,,Killing Me Softly With His SongFugees
567,Folsom Prison Blues,Johnny Cash,1969,60s,Male,"Country, Rock & Roll, Blues, Outlaw Country",,,,,,Folsom Prison BluesJohnny Cash
1,Alexander Hamilton,Lin-Manuel Miranda & Original Broadway Cast of Hamilton,2015,2010s,,"Hip-Hop, Musical Theatre, Show Tune, Soundtrack",Group Songs,,,,,Alexander HamiltonLin-Manuel Miranda & Original Broadway Cast of Hamilton
547,Creep,Radiohead,1993,90s,Male,"Rock, Alternative Rock, Britpop",,Radio,,,,CreepRadiohead
541,Shallow,Lady Gaga & Bradley Cooper,2018,2010s,Mixed,"Pop, Pop Rock, Country Pop, Soundtrack",Duets,,Diva Moment,,,ShallowLady Gaga & Bradley Cooper
539,Feeling Good,Michael Bublé,2005,2000s,Male,"Pop, Traditional Pop, Vocal Jazz, Jazz",,,,,,Feeling GoodMichael Bublé
539,Just Breathe,Pearl Jam,2009,2000s,Male,"Rock, Folk Rock, Acoustic Rock",,,,,,Just BreathePearl Jam
537,Cocaine Country Dancing,Paul Cauthen,2019,2010s,Male,"Country, Alt-Country, Americana",,,,,,Cocaine Country DancingPaul Cauthen
501,All of You,Encanto Cast,2021,2020s,Female,"Latin, Latin Pop, Musical Theatre, Show Tune, Disney, Soundtrack",Group Songs,,,,,All of YouEncanto Cast
522,These Boots Are Made for Walkin',Nancy Sinatra,1966,60s,Female,"Pop, Pop Rock",,,Breakup Anthem,,,These Boots Are Made for Walkin'Nancy Sinatra
518,Black Sheep,Metric,2010,2010s,Female,"Rock, Indie Rock",,Soundtrack; Scott Pilgrim vs. The World; Brie Larson vocal,,,,Black SheepMetric
507,I Don't Care,Fall Out Boy,2008,2000s,Male,"Rock, Pop Rock, Alternative Rock, Pop Punk, Emo",,,,,,I Don't CareFall Out Boy
503,Take It All,Adele,2011,2010s,Female,"Pop, Dance-Pop, Soul, R&B",,,,,,Take It AllAdele
502,Manchild,Sabrina Carpenter,2025,2020s,Female,"Pop, Dance-Pop, Electropop",,,,,,ManchildSabrina Carpenter
502,Monsters,Shinedown,2018,2010s,Male,"Pop, Pop Rock, Hard Rock, Metal, Alternative Metal, Post-Grunge",,,,,,MonstersShinedown
502,Picture You,Chappell Roan,2023,2020s,Female,"Pop, Dance-Pop, Electropop, Synth-Pop, Indie Pop, Pop Rock",,,,,,Picture YouChappell Roan
501,23,Chayce Beckham,2021,2020s,Male,"Country, Contemporary Country",,,,,,23Chayce Beckham
43,All Star,Smash Mouth,1997,90s,Male,"Rock, Pop Rock, Alternative Rock, Pop Punk",Group Songs,,Guilty Pleasure,,,All StarSmash Mouth
501,Back in the Saddle,Luke Combs,2025,2020s,Male,"Country, Contemporary Country, Country Pop",,,,,,Back in the SaddleLuke Combs
501,Bang!,AJR,2020,2020s,Male,"Pop, Electropop, Indie Pop",,,,,,Bang!AJR
501,Be by You,Luke Combs,2026,2020s,Male,"Country, Contemporary Country, Country Pop",,,,,,Be by YouLuke Combs
501,Bitin' List,Tyler Childers,2025,2020s,Male,"Country, Alt-Country, Americana",,,,,,Bitin' ListTyler Childers
